IDS_SCENARIO_GAISERIC "Gaiseric (406)"
398609 "Your scouts report:\n\n- Oda (Yellow): Samurai and infantry are cheaper and train faster.\nLocated in a strife-filled region of Japan, the Oda must be resourceful to survive. They place unique emphasis on commoner soldiers and are open to promoting these ashigaru to important positions if it means the most talented will rise. The Oda are at war with the Uesugi, Mori, and Chosokabe.\n\n- Takeda (Red): Cavalry have charge attack and increased attack.\nThe proud Takeda have known little peace in the contested east central region of Honshu. If they are to unite Japan, the Takeda must focus on expansive war and train armies of superior cavalry. Such is the Takeda way. The Takeda are at war with the Uesugi, Mori, and Chosokabe.\n\n- Uesugi (Purple): Samurai regenerate, do area damage, and are immune to conversion. Can train Elite Samurai before other factions. Has Uesugi Kenshin hero that levels up by fighting.\nThe Uesugi are devout warriors led by Uesugi Kenshin, the fearsome 'Dragon of Echigo.' Only through his prowess will they prove that the war god favors the Uesugi clan! The Uesugi are at war with the Oda, Takeda, and Otomo.\n\n- Mori (Orange): Ships have more hit points and are cheaper. Can build Criminal Networks and Explosive Traps. Can recruit Merchants, Saboteurs, and Ninjas at the Criminal Network.\nLiving on the western end of Honshu has encouraged the Mori to look to the sea… and to clandestine ways to exert their power. Their history of subterfuge and assassination allows them to recruit unscrupulous talents at their Criminal Network. The Mori are at war with the Oda, Takeda, and Otomo.\n\n- Otomo (Blue): Can train Missionaries and Elite Conquistadors. Can build Feitorias. Can train Hand Cannoneers and Cannon Galleons before other factions.\nThe Otomo rule in Kyushu in the far west. The sea gives them protection but makes eastward expansion difficult. This distance from the other clans has reaped benefits: the Otomo were the first to welcome the curious Nanban, foreigners from the south. The Otomo are at war with the Uesugi, Mori, and Chosokabe.\n\n- Chosokabe (Green): Archers and Cavalry Archers have greater range. Lumberjacks and Farmers generate Gold. Can train Heavy Cavalry Archers before other factions.\nThe Chosokabe are isolated on Shikoku, but this isolation does not imply poverty. The island is rich in minerals and lumber and will equip the clan's superior archers. Their footholds on Honshu are fragile but will be a foundation for their expansion. The Chosokabe are at war with the Oda, Takeda, and Otomo."
398610 "<b>Oda<b>\nSamurai and infantry are cheaper and train faster. At war with the Uesugi, Mori, and Chosokabe."
398611 "<b>Takeda<b>\nCavalry have charge attack and increased attack. At war with the Uesugi, Mori, and Chosokabe."
398612 "<b>Uesugi<b>\nSamurai regenerate, do area damage, and are immune to conversion. Can train Elite Samurai before other factions. Has Uesugi Kenshin hero that levels up by fighting. At war with the Oda, Takeda, and Otomo."
398613 "<b>Mori<b>\nShips have more hit points and are cheaper. Can build Criminal Networks and Explosive Traps. Can recruit Merchants, Saboteurs, and Ninjas at the Criminal Network. At war with the Oda, Takeda, and Otomo."
398614 "<b>Otomo<b>\nCan train Missionaries and Elite Conquistadors. Can build Feitorias. Can train Hand Cannoneers and Cannon Galleons before other factions. Cannot collect Relics. At war with the Uesugi, Mori, and Chosokabe."
398615 "<b>Chosokabe<b>\nArchers and Cavalry Archers have greater range. Lumberjacks and Farmers generate Gold. Can train Heavy Cavalry Archers before other factions. At war with the Oda, Takeda, and Otomo."
398616 "+ Choose a clan at the Imperial Palace."
398617 "- Review Scouts for detailed information on each clan."
398618 "+ Defeat <Factions Defeated>/4 clans."
398619 "- Defeat a clan before you reach the Imperial Age."
398620 "- Defeat a clan before it reaches the Imperial Age."
398621 "- Capture <Relics Captured>/6 Relics."
398622 "- Attain <Kill Ratio>/100 more kills than deaths."
398623 "- Convert <Conversions>/20 units."
398624 "- Reach the Imperial Age before other clans."
398625 "Choose your clan at the Imperial Palace. To learn about each clan, read Scouts."
398626 "Located in a strife-filled region of Japan, the Oda must be resourceful to survive. They place unique emphasis on commoner soldiers and are open to promoting these ashigaru to important positions if it means the most talented will rise."
398627 "The Oda are at war with the Uesugi, Mori, and Chosokabe. Samurai and infantry are cheaper and train faster."
398628 "The proud Takeda have known little peace in the contested east central region of Honshu. If they are to unite Japan, the Takeda must focus on expansive war and train armies of superior cavalry. Such is the Takeda way."
398629 "The Takeda are at war with the Uesugi, Mori, and Chosokabe. Cavalry have charge attack and increased attack."
398630 "The Uesugi are devout warriors led by Uesugi Kenshin, the fearsome 'Dragon of Echigo.' Only through his prowess will they prove that the war god favors the Uesugi clan!"
398631 "The Uesugi are at war with the Oda, Takeda, and Otomo. Samurai regenerate, do area damage, and are immune to conversion. Can train Elite Samurai before other factions. Has Uesugi Kenshin hero that levels up by fighting."
398632 "Living on the western end of Honshu has encouraged the Mori to look to the sea… and to clandestine ways to exert their power. Their history of subterfuge and assassination allows them to recruit unscrupulous talents at their Criminal Network."
398633 "The Mori are at war with the Oda, Takeda, and Otomo. Mori ships are superior. Villagers can build Criminal Networks and Explosive Traps. Can recruit Merchants, Saboteurs, and Ninjas at the Criminal Network."
398634 "The Otomo rule in Kyushu in the far west. The sea gives them protection but makes eastward expansion difficult. This distance from the other clans has reaped benefits: the Otomo were the first to welcome the curious Nanban, foreigners from the south."
398635 "The Otomo are at war with the Uesugi, Mori, and Chosokabe. Can train Missionaries and Elite Conquistadors. Can build Feitorias. Can train Hand Cannoneers and Cannon Galleons before other factions."
398636 "The Chosokabe are isolated on Shikoku, but this isolation does not imply poverty. The island is rich in minerals and lumber and will equip the clan's superior archers. Their footholds on Honshu are fragile but will be a foundation for their expansion."
398637 "The Chosokabe are at war with the Oda, Takeda, and Otomo. Archers and Cavalry Archers have greater range. Lumberjacks and Farmers generate Gold. Can train Heavy Cavalry Archers before other factions."
398638 "You aspire to be Shogun of all Japan but many clans stand in your way. Defeat them and all will accept your destiny."
398639 "Your growing power brings fear into the other clans. They set aside their differences and unite against you. They, too, will fall like the others."
398640 "The other clans have been cowed into submission. They are forced to accept your inevitable destiny as Shogun."
398641 "The Criminal Network is a special building of the Mori clan. Inquisitive Merchants, Saboteurs, and Ninjas can be recruited at the Criminal Network."
398642 "The Otomo can train Missionaries and Elite Conquistadors at the Monastery but they cannot collect Buddhist Relics."
398643 "As Uesugi Kenshin fights, his skill grows. Use him in battle often."
398644 "Uesugi Kenshin is stronger."
398645 "Uesugi Kenshin is in danger."
398646 "Uesugi Kenshin has fallen in battle."
398647 "Castles have improved range. Garrisoned infantry can now fire arrows."
398648 "Cavalry attack faster and Knight-line has more armor."
398649 "Infantry have improved attack."
398650 "Villagers are stronger."
398651 "Gunpowder units have improved accuracy."
398652 "Resources last longer."
398653 "Create <b>Inquisitive Merchant<b> (<cost>)\nAn observant merchant who can act as a spy. Slow moving scout with large line of sight. Will not be attacked by enemy units."
398654 "Create <b>Saboteur<b> (<cost>)\nDemolition siege unit armed with explosives. Strong vs. buildings. Weak vs. other units. Self-destructs when used.\n<hp> <attack> <armor> <piercearmor> <range>"
398655 "Criminal Network"
398656 "Build <b>Criminal Network<b> (<cost>)\nBuilding used for training special units.\n<hp> <attack> <armor> <piercearmor> <range> <garrison>"
398657 "%d remaining to defeat all clans."
398658 "Uesugi Kenshin"
398659 "Explosive Trap"
398660 "Build <b>Explosive Trap<b> (<cost>)\nExplosive trap that destroys unsuspecting units."
398661 "Oda Nobunaga"
398662 "Takeda Shingen"
398663 "Mori Yoshinari"
398664 "Otomo Sorin"
398665 "Chosokabe Kunichika"
398666 "Ikko Ikki"
398667 "Commoner Promotions"
398668 "Battlefield Trophies"
398669 "Kuruma Gakari"
398670 "True Pure Land"
398671 "Portuguese Traders"
398672 "Industrious Peasants"
398673 "Research <b>Commoner Promotions<b> (<cost>)\nBy increasing the pool of military talent, more of the population can serve. +20 Population cap."
398674 "Research <b>Battlefield Trophies<b> (<cost>)\nMore than honor can be won on the battlefield. Killing enemy units generates gold."
398675 "Research <b>Kuruma Gakari<b> (<cost>)\nTraining and tactics enhance the movement speed of Elite Samurai."
398676 "Research <b>True Pure Land<b> (<cost>)\nSupport for a popular uprising has its benefits. Each Town Center (maximum 5) spawns a one-time batch of 5 Ikko Ikki. Units more resistant to conversion."
398677 "Research <b>Portuguese Traders<b> (<cost>)\nThe Nanban bring more than guns and faith. Feitoria generate double resources."
398678 "Research <b>Industrious Peasants<b> (<cost>)\nShikoku peasants are accustomed to doing more with less. Farmer work rate doubled."

// Nobunaga (1551)

399181 "The petals fall and the cranes soar."
399182 "The Shogun is weak and Japan is divided. The clans vie for power and war has come to the land."
